timestamp,datetime,total_power_w,total_gpu_power_w,total_cpu_power_w,cpu_utilization_pct,num_active_gpus,num_processes
1774888913.1076927,2026-03-30T18:41:53.107693,88.32249999999999,55.51,32.8125,1.7857142857142858,0,2
1774888914.5675244,2026-03-30T18:41:54.567524,241.1125,208.3,32.8125,1.7857142857142858,1,2
1774888915.9483013,2026-03-30T18:41:55.948301,242.9325,210.12,32.8125,1.7857142857142858,1,2
1774888917.3260946,2026-03-30T18:41:57.326095,239.3325,206.52,32.8125,1.7857142857142858,1,2
1774888918.703035,2026-03-30T18:41:58.703035,236.8225,204.01,32.8125,1.7857142857142858,1,2
1774888920.0805209,2026-03-30T18:42:00.080521,215.7125,182.9,32.8125,1.7857142857142858,1,2
1774888921.4570987,2026-03-30T18:42:01.457099,215.09249999999997,182.27999999999997,32.8125,1.7857142857142858,1,2
1774888922.8431761,2026-03-30T18:42:02.843176,234.2125,201.4,32.8125,1.7857142857142858,1,2
1774888924.2450373,2026-03-30T18:42:04.245037,149.96249999999998,117.14999999999999,32.8125,1.7857142857142858,0,2
1774888925.6414807,2026-03-30T18:42:05.641481,149.4725,116.66,32.8125,1.7857142857142858,0,2
1774888927.0477867,2026-03-30T18:42:07.047787,135.0025,102.19,32.8125,1.7857142857142858,0,2
1774888928.4463272,2026-03-30T18:42:08.446327,134.3225,101.50999999999999,32.8125,1.7857142857142858,0,2
1774888929.8621879,2026-03-30T18:42:09.862188,134.8319375,101.9,32.931937500000004,1.9482142857142857,0,2
1774888931.2569597,2026-03-30T18:42:11.256960,136.5025,103.69,32.8125,1.7857142857142858,0,2
1774888932.6737535,2026-03-30T18:42:12.673753,134.7125,101.9,32.8125,1.7857142857142858,0,2
