"Flow_well","Temp_diff","Temp_diff_real","kW_well","Hydr_gradient","Hydr_conductivity","Aqu_thickness","Long_dispersivity","Trans_dispersivity","Iso_width","Iso_distance","Area","Isotherm"
9.9,3,2.91446465286,1.437,0.0015,0.00021,4,10,5,123.883766002,723.089564521,72894.4231633,1
9.9,3,2.91446465286,1.437,0.0015,0.00021,4,10,5,45.9142716418,99.2026175788,3969.89451219,2
14,3,3.00681486708,2.032,0.0015,0.00021,4,10,5,177.981465507,1463.14736088,210974.805704,1
14,3,3.00681486708,2.032,0.0015,0.00021,4,10,5,73.3991683595,224.356615105,13765.8657213,2
18.1,3,3.04918155711,2.627,0.0015,0.00021,4,10,5,101.85013419,402.299212293,33474.8952333,2
7,3,1.94586176879,1.016,0.0015,0.00085,4,10,5,14.3058110251,20.5637838896,269.861555013,1
23.6,3,2.74977379539,3.425,0.0015,0.00085,4,10,5,70.267632422,299.387907939,17274.3782324,1
23.6,3,2.74977379539,3.425,0.0015,0.00085,4,10,5,22.9056748671,35.1499273672,748.844440048,2
40.2,3,2.95368762002,5.835,0.0015,0.00085,4,10,5,125.745595638,908.638405944,92653.3859877,1
40.2,3,2.95368762002,5.835,0.0015,0.00085,4,10,5,49.5786041612,130.286772406,5485.63011209,2
56.8,3,3.03003690013,8.244,0.0015,0.00085,4,10,5,179.128058003,1824.95632322,264723.720256,1
56.8,3,3.03003690013,8.244,0.0015,0.00085,4,10,5,77.5687420059,290.249368727,18479.9062969,2
73.4,3,3.06317733705,10.653,0.0015,0.00085,4,10,5,106.474858715,514.817209688,44113.0735675,2
29,3,1.98087131807,4.209,0.0015,0.0035,4,10,5,14.8818716719,22.5898903468,304.365991527,1
97.2,3,2.76756592736,14.107,0.0015,0.0035,4,10,5,70.7301645886,319.584747141,18523.9889831,1
97.2,3,2.76756592736,14.107,0.0015,0.0035,4,10,5,23.6459382965,38.0475545854,831.5030125,2
165.4,3,2.96345053557,24.006,0.0015,0.0035,4,10,5,125.96249921,965.888340905,98596.5665547,1
165.4,3,2.96345053557,24.006,0.0015,0.0035,4,10,5,50.4187160312,139.886260215,5958.52947457,2
233.6,3,3.03563645861,33.904,0.0015,0.0035,4,10,5,179.02711712,1937.1868921,280582.385286,1
233.6,3,3.03563645861,33.904,0.0015,0.0035,4,10,5,78.4939859142,310.39323614,19918.4898559,2
301.8,3,3.06644430377,43.803,0.0015,0.0035,4,10,5,107.440979057,549.109203637,47306.0867565,2
58.1,3,1.98727994125,8.433,0.0015,0.007,4,10,5,14.9931104061,22.9829239171,311.336272399,1
194.4,3,2.77050957191,28.215,0.0015,0.007,4,10,5,70.8086846216,323.164401519,18742.0066573,1
194.4,3,2.77050957191,28.215,0.0015,0.007,4,10,5,23.7697072468,38.7705952402,846.026869782,2
330.7,3,2.96502251944,47.997,0.0015,0.007,4,10,5,125.986276872,975.554478691,99592.0335484,1
330.7,3,2.96502251944,47.997,0.0015,0.007,4,10,5,50.5495984352,141.608415463,6038.43872697,2
467,3,3.03652442663,67.78,0.0015,0.007,4,10,5,178.985550219,1952.9001785,283198.547897,1
467,3,3.03652442663,67.78,0.0015,0.007,4,10,5,78.6292628213,313.848396263,20156.8949754,2
603.3,3,3.0669561476,87.562,0.0015,0.007,4,10,5,107.576959996,554.865374574,47828.7328466,2
481.1,3,1.99132716668,69.826,0.0015,0.058,4,10,5,15.0424743626,23.2205409572,315.088829304,1
1608.3,3,2.77240895158,233.427,0.0015,0.058,4,10,5,70.7554222481,325.413615771,18845.7208722,1
1608.3,3,2.77240895158,233.427,0.0015,0.058,4,10,5,23.822637896,39.096456003,854.04764436,2
2735.4,3,2.96603124337,397.013,0.0015,0.058,4,10,5,125.814653655,981.311653226,100036.693673,1
2735.4,3,2.96603124337,397.013,0.0015,0.058,4,10,5,50.5684525733,142.608761639,6078.70508274,2
3862.5,3,3.03709379949,560.599,0.0015,0.058,4,10,5,178.695179752,1964.59875509,284341.176429,1
3862.5,3,3.03709379949,560.599,0.0015,0.058,4,10,5,78.6092207049,315.89411408,20272.2751562,2
4989.7,3,3.06728821013,724.2,0.0015,0.058,4,10,5,107.517241526,558.298697564,48076.9920765,2
8.3,3,2.48621356179,1.205,0.0015,0.00021,4,20,10,93.9794341656,269.408199829,21231.7183622,1
14.9,3,2.79051206779,2.163,0.0015,0.00021,4,20,10,183.871573211,919.489980741,137976.327707,1
14.9,3,2.79051206779,2.163,0.0015,0.00021,4,20,10,65.5098035564,121.00498833,7087.41344736,2
21.6,3,2.91579302668,3.135,0.0015,0.00021,4,20,10,270.294044236,1940.79505822,425494.61191,1
21.6,3,2.91579302668,3.135,0.0015,0.00021,4,20,10,110.690017783,296.333505546,27772.5687946,2
28.2,3,2.97420602678,4.093,0.0015,0.00021,4,20,10,156.812677984,544.260187279,70251.9199068,2
33.8,3,2.53333853587,4.906,0.0015,0.00085,4,20,10,96.4697247555,309.636902922,24851.1528851,1
33.8,3,2.53333853587,4.906,0.0015,0.00085,4,20,10,26.6433780465,30.445533273,821.344182754,2
60.6,3,2.81976591246,8.795,0.0015,0.00085,4,20,10,186.077320109,1046.01679124,158373.329948,1
60.6,3,2.81976591246,8.795,0.0015,0.00085,4,20,10,69.1323144301,142.242320104,8641.00187494,2
87.4,3,2.93307973431,12.685,0.0015,0.00085,4,20,10,114.261772245,340.110128377,32527.6157521,2
114.2,3,2.98546422662,16.575,0.0015,0.00085,4,20,10,160.794109381,621.259200164,81434.2609545,2
139.4,3,2.54560639919,20.232,0.0015,0.0035,4,20,10,97.1089680344,321.328358049,25898.457126,1
