timestamp,datetime,total_power_w,total_gpu_power_w,total_cpu_power_w,cpu_utilization_pct,num_active_gpus,num_processes
1775925546.6998298,2026-04-11T18:39:06.699830,88.9125,56.1,32.8125,1.7857142857142858,0,1
1775925548.1063516,2026-04-11T18:39:08.106352,133.4844375,101.34,32.1444375,0.8767857142857143,0,1
1775925549.5336845,2026-04-11T18:39:09.533684,133.7456875,101.47,32.275687500000004,1.0553571428571429,0,1
1775925550.9499204,2026-04-11T18:39:10.949920,134.3781875,101.84,32.5381875,1.4124999999999999,0,1
1775925552.3427746,2026-04-11T18:39:12.342775,138.0583125,104.1,33.9583125,3.3446428571428575,1,1
1775925553.8810542,2026-04-11T18:39:13.881054,135.8821875,102.21,33.6721875,2.955357142857143,1,1
1775925555.3659182,2026-04-11T18:39:15.365918,147.9919375,102.67,45.3219375,18.80535714285714,0,1
1775925556.9805396,2026-04-11T18:39:16.980540,135.595625,101.93,33.665625,2.9464285714285716,1,1
1775925558.4783132,2026-04-11T18:39:18.478313,137.9198125,101.62,36.2998125,6.5303571428571425,1,1
1775925560.2772303,2026-04-11T18:39:20.277230,139.0009375,105.03999999999999,33.9609375,3.3482142857142856,1,1
1775925561.8433213,2026-04-11T18:39:21.843321,136.944875,101.72,35.224875,5.067857142857143,1,1
1775925563.5286293,2026-04-11T18:39:23.528629,136.4895625,102.61,33.8795625,3.2375000000000003,1,1
1775925565.020678,2026-04-11T18:39:25.020678,136.8754375,102.61,34.2654375,3.7624999999999997,1,1
1775925566.5056334,2026-04-11T18:39:26.505633,136.6135,102.73,33.8835,3.242857142857143,1,1
1775925568.0067031,2026-04-11T18:39:28.006703,135.9098125,102.13,33.7798125,3.101785714285714,1,1
1775925569.5253532,2026-04-11T18:39:29.525353,135.59356250000002,101.42,34.1735625,3.6374999999999997,0,1
1775925571.1654599,2026-04-11T18:39:31.165460,137.2924375,103.3,33.9924375,3.3910714285714287,1,1
1775925572.64372,2026-04-11T18:39:32.643720,136.9909375,100.92999999999999,36.0609375,6.205357142857143,1,1
1775925574.4916036,2026-04-11T18:39:34.491604,136.645125,102.99,33.655125,2.932142857142857,1,1
1775925575.994886,2026-04-11T18:39:35.994886,146.608125,103.02,43.588125000000005,16.446428571428573,1,1
1775925577.4136245,2026-04-11T18:39:37.413625,136.322875,102.61,33.712875,3.0107142857142857,1,1
1775925578.9519773,2026-04-11T18:39:38.951977,136.8816875,103.01,33.8716875,3.226785714285714,1,1
1775925580.4782274,2026-04-11T18:39:40.478227,139.02325000000002,102.31,36.71325,7.0928571428571425,0,1
1775925585.184684,2026-04-11T18:39:45.184684,137.43525,103.62,33.81525,3.15,1,1
1775925586.6872537,2026-04-11T18:39:46.687254,136.1573125,102.43,33.7273125,3.0303571428571425,1,1
1775925588.1917074,2026-04-11T18:39:48.191707,137.1205,103.3,33.8205,3.1571428571428575,0,1
1775925589.6743443,2026-04-11T18:39:49.674344,136.822375,102.7,34.122375,3.567857142857143,1,1
1775925591.1801248,2026-04-11T18:39:51.180125,148.5548125,101.22999999999999,47.3248125,21.530357142857145,0,1
1775925593.0128424,2026-04-11T18:39:53.012842,136.001625,102.42,33.581625,2.832142857142857,1,1
1775925594.5043473,2026-04-11T18:39:54.504347,149.2448125,102.13,47.1148125,21.244642857142857,0,1
1775925596.3152022,2026-04-11T18:39:56.315202,137.212375,103.3,33.912375,3.2821428571428575,1,1
1775925597.8499541,2026-04-11T18:39:57.849954,139.406375,103.1,36.306375,6.539285714285714,1,1
1775925599.5227401,2026-04-11T18:39:59.522740,136.72625,102.89,33.83625,3.1785714285714284,1,1
1775925601.0425363,2026-04-11T18:40:01.042536,135.5581875,102.39,33.1681875,2.269642857142857,1,1
1775925602.5251465,2026-04-11T18:40:02.525146,136.48399999999998,102.8,33.684,2.9714285714285715,1,1
1775925604.0110602,2026-04-11T18:40:04.011060,137.53175,103.37,34.16175,3.6214285714285714,1,1
1775925605.5269778,2026-04-11T18:40:05.526978,138.7691875,102.22,36.5491875,6.869642857142857,0,1
1775925610.099742,2026-04-11T18:40:10.099742,136.7344375,102.7,34.0344375,3.4482142857142857,1,1
1775925611.5869453,2026-04-11T18:40:11.586945,139.9986875,103.88,36.1186875,6.283928571428571,1,1
