timestamp,datetime,total_power_w,total_gpu_power_w,total_cpu_power_w,cpu_utilization_pct,num_active_gpus,num_processes
1775919664.8773563,2026-04-11T17:01:04.877356,88.3393125,55.410000000000004,32.9293125,1.9446428571428573,0,1
1775919666.3579135,2026-04-11T17:01:06.357913,133.276625,101.06,32.216625,0.975,0,1
1775919667.8243823,2026-04-11T17:01:07.824382,133.051625,100.73,32.321625,1.1178571428571427,0,1
1775919669.3864923,2026-04-11T17:01:09.386492,133.4175625,100.84,32.5775625,1.4660714285714287,0,1
1775919670.8000133,2026-04-11T17:01:10.800013,135.16899999999998,100.75,34.419,3.9714285714285715,0,1
1775919672.422582,2026-04-11T17:01:12.422582,137.35575,101.85000000000001,35.50575,5.45,0,1
1775919674.3409462,2026-04-11T17:01:14.340946,135.7059375,101.64,34.0659375,3.4910714285714284,0,1
1775919675.8841605,2026-04-11T17:01:15.884161,137.558375,101.84,35.718375,5.739285714285714,1,1
1775919677.803524,2026-04-11T17:01:17.803524,135.71800000000002,101.53,34.188,3.6571428571428575,0,1
1775919679.3851867,2026-04-11T17:01:19.385187,137.835875,101.53999999999999,36.295874999999995,6.5249999999999995,0,1
1775919681.2559698,2026-04-11T17:01:21.255970,138.01387499999998,102.81,35.203875,5.039285714285714,0,1
1775919683.6491191,2026-04-11T17:01:23.649119,136.378125,101.82000000000001,34.558125,4.160714285714286,0,1
1775919685.208899,2026-04-11T17:01:25.208899,137.9599375,102.13,35.8299375,5.891071428571428,0,1
1775919687.1209705,2026-04-11T17:01:27.120970,136.4855,102.14,34.3455,3.8714285714285714,0,1
1775919688.7261536,2026-04-11T17:01:28.726154,137.7571875,102.50999999999999,35.2471875,5.098214285714286,0,1
1775919690.5178835,2026-04-11T17:01:30.517884,136.5390625,101.61999999999999,34.9190625,4.651785714285714,0,1
1775919692.8810885,2026-04-11T17:01:32.881088,135.16,101.14,34.019999999999996,3.4285714285714284,0,1
1775919694.4215877,2026-04-11T17:01:34.421588,137.68375,101.8,35.88375,5.964285714285714,1,1
1775919696.2585247,2026-04-11T17:01:36.258525,136.5833125,102.31,34.2733125,3.773214285714286,0,1
1775919697.868906,2026-04-11T17:01:37.868906,137.7305,102.02,35.710499999999996,5.728571428571429,0,1
1775919699.8245692,2026-04-11T17:01:39.824569,135.3556875,102.03,33.3256875,2.4839285714285713,0,1
1775919701.394382,2026-04-11T17:01:41.394382,136.3771875,101.34,35.0371875,4.8125,0,1
1775919703.2467911,2026-04-11T17:01:43.246791,138.3049375,104.05,34.2549375,3.748214285714286,0,1
1775919704.8263958,2026-04-11T17:01:44.826396,136.50424999999998,102.71,33.79425,3.1214285714285714,0,1
1775919706.7056413,2026-04-11T17:01:46.705641,138.002125,102.31,35.692125,5.703571428571428,0,1
1775919709.0663028,2026-04-11T17:01:49.066303,135.46175,101.50999999999999,33.95175,3.335714285714286,0,1
1775919710.671526,2026-04-11T17:01:50.671526,136.70875,102.19,34.51875,4.107142857142857,0,1
1775919712.4718378,2026-04-11T17:01:52.471838,137.6411875,102.31,35.3311875,5.2124999999999995,0,1
1775919714.8603435,2026-04-11T17:01:54.860343,136.42818749999998,102.21,34.2181875,3.6982142857142857,0,1
1775919716.4133422,2026-04-11T17:01:56.413342,136.30962499999998,101.92999999999999,34.379625,3.917857142857143,0,1
1775919718.2237227,2026-04-11T17:01:58.223723,137.7891875,102.28999999999999,35.4991875,5.441071428571428,0,1
1775919720.5552764,2026-04-11T17:02:00.555276,136.419,102.42,33.999,3.4,0,1
1775919722.0922325,2026-04-11T17:02:02.092232,136.2193125,102.03,34.1893125,3.6589285714285715,0,1
1775919723.8902278,2026-04-11T17:02:03.890228,136.142375,102.02,34.122375,3.567857142857143,0,1
1775919725.4315965,2026-04-11T17:02:05.431597,138.1821875,102.41,35.7721875,5.8125,0,1
1775919727.220729,2026-04-11T17:02:07.220729,137.8899375,102.9,34.989937499999996,4.748214285714285,0,1
1775919729.6660576,2026-04-11T17:02:09.666058,136.0160625,102.21000000000001,33.8060625,3.1374999999999997,0,1
1775919731.2033093,2026-04-11T17:02:11.203309,136.40949999999998,102.39999999999999,34.0095,3.414285714285714,0,1
1775919732.7726405,2026-04-11T17:02:12.772640,136.5995625,102.3,34.2995625,3.8089285714285714,0,1
1775919734.5260754,2026-04-11T17:02:14.526075,139.10925,102.69,36.41925,6.692857142857143,0,1
1775919736.5282478,2026-04-11T17:02:16.528248,139.1448125,104.84,34.3048125,3.8160714285714286,0,1
1775919738.154774,2026-04-11T17:02:18.154774,138.630625,102.76,35.870625,5.946428571428571,0,1
1775919740.0144835,2026-04-11T17:02:20.014483,137.32150000000001,103.69,33.6315,2.9,0,1
1775919741.6219814,2026-04-11T17:02:21.621981,137.7088125,101.64,36.0688125,6.216071428571428,0,1
1775919743.5106356,2026-04-11T17:02:23.510636,136.21975,102.31,33.90975,3.2785714285714285,0,1
1775919745.0434544,2026-04-11T17:02:25.043454,139.07575,103.57,35.50575,5.45,0,1
1775919747.0452704,2026-04-11T17:02:27.045270,137.9846875,104.25999999999999,33.7246875,3.0267857142857144,0,1
1775919748.6121655,2026-04-11T17:02:28.612165,138.5944375,103.09,35.5044375,5.448214285714286,0,1
1775919750.4421487,2026-04-11T17:02:30.442149,135.5995625,101.72,33.8795625,3.2375000000000003,0,1
1775919752.0297024,2026-04-11T17:02:32.029702,139.7525,105.05,34.7025,4.357142857142857,0,1
1775919753.8123937,2026-04-11T17:02:33.812394,136.70543750000002,101.81,34.8954375,4.619642857142857,0,1
1775919756.2372093,2026-04-11T17:02:36.237209,135.3680625,101.73,33.638062500000004,2.9089285714285715,0,1
1775919757.8181243,2026-04-11T17:02:37.818124,138.2035,102.42999999999999,35.7735,5.814285714285715,0,1
1775919759.7433252,2026-04-11T17:02:39.743325,135.809,101.81,33.999,3.4,0,1
1775919761.3102245,2026-04-11T17:02:41.310225,138.514125,103.2,35.314125000000004,5.189285714285715,0,1
1775919763.2238653,2026-04-11T17:02:43.223865,136.5596875,102.31,34.2496875,3.7410714285714284,0,1
1775919764.7624633,2026-04-11T17:02:44.762463,135.7628125,101.71,34.0528125,3.4732142857142856,0,1
1775919766.5223818,2026-04-11T17:02:46.522382,137.097375,101.82,35.277375,5.139285714285714,0,1
1775919768.8947892,2026-04-11T17:02:48.894789,135.80275,101.61999999999999,34.18275,3.65,0,1
1775919770.4887211,2026-04-11T17:02:50.488721,137.5136875,101.92,35.5936875,5.569642857142857,0,1
1775919772.3220587,2026-04-11T17:02:52.322059,135.6180625,102.19,33.4280625,2.623214285714286,0,1
1775919773.8621397,2026-04-11T17:02:53.862140,138.128875,102.61,35.518875,5.4678571428571425,0,1
1775919775.6750715,2026-04-11T17:02:55.675071,136.2570625,102.00999999999999,34.2470625,3.7375000000000003,0,1
1775919777.256767,2026-04-11T17:02:57.256767,137.56925,101.99000000000001,35.57925,5.55,0,1
1775919779.0760653,2026-04-11T17:02:59.076065,137.359375,101.62,35.739375,5.767857142857143,0,1
1775919781.5082705,2026-04-11T17:03:01.508271,136.516625,102.2,34.316625,3.832142857142857,0,1
1775919783.1104698,2026-04-11T17:03:03.110470,139.2355,103.0,36.2355,6.442857142857143,0,1
1775919785.0725849,2026-04-11T17:03:05.072585,138.59125,104.64999999999999,33.94125,3.3214285714285716,0,1
1775919786.69307,2026-04-11T17:03:06.693070,138.195875,102.11,36.085875,6.239285714285714,0,1
1775919788.6952806,2026-04-11T17:03:08.695281,135.79925,101.9,33.89925,3.264285714285714,0,1
1775919790.2677824,2026-04-11T17:03:10.267782,138.438,102.99,35.448,5.371428571428572,0,1
1775919792.153776,2026-04-11T17:03:12.153776,136.29925,102.39999999999999,33.89925,3.264285714285714,0,1
1775919793.7072902,2026-04-11T17:03:13.707290,135.80975,102.11,33.69975,2.992857142857143,0,1
1775919795.5690145,2026-04-11T17:03:15.569015,136.17512499999998,102.1,34.075125,3.5035714285714286,0,1
1775919797.1189628,2026-04-11T17:03:17.118963,137.9345625,104.16,33.7745625,3.0946428571428575,0,1
1775919798.885958,2026-04-11T17:03:18.885958,137.5149375,102.21,35.3049375,5.176785714285714,0,1
1775919801.3033626,2026-04-11T17:03:21.303363,136.2906875,102.02,34.2706875,3.769642857142857,0,1
1775919802.8775346,2026-04-11T17:03:22.877535,137.09,101.81,35.28,5.142857142857143,0,1
1775919804.6113555,2026-04-11T17:03:24.611356,136.28175,102.12,34.16175,3.6214285714285714,0,1
1775919806.2111654,2026-04-11T17:03:26.211165,137.189375,101.45,35.739375,5.767857142857143,0,1
